date,store_id,product_id,sales
2023-01-01,1,1,141
2023-01-02,1,1,154
2023-01-03,1,1,162
2023-01-04,1,1,168
2023-01-05,1,1,152
2023-01-06,1,1,147
2023-01-07,1,1,132
2023-01-08,1,1,142
2023-01-09,1,1,154
2023-01-10,1,1,156
2023-01-11,1,1,163
2023-01-12,1,1,156
2023-01-13,1,1,148
2023-01-14,1,1,141
2023-01-15,1,1,142
2023-01-16,1,1,152
2023-01-17,1,1,162
2023-01-18,1,1,159
2023-01-19,1,1,158
2023-01-20,1,1,149
2023-01-21,1,1,149
2023-01-22,1,1,145
2023-01-23,1,1,151
2023-01-24,1,1,171
2023-01-25,1,1,154
2023-01-26,1,1,164
2023-01-27,1,1,154
2023-01-28,1,1,139
2023-01-29,1,1,152
2023-01-30,1,1,156
2023-01-31,1,1,160
2023-02-01,1,1,159
2023-02-02,1,1,162
2023-02-03,1,1,147
2023-02-04,1,1,138
2023-02-05,1,1,145
2023-02-06,1,1,153
2023-02-07,1,1,163
2023-02-08,1,1,164
2023-02-09,1,1,166
2023-02-10,1,1,155
2023-02-11,1,1,145
2023-02-12,1,1,143
2023-02-13,1,1,162
2023-02-14,1,1,168
2023-02-15,1,1,179
2023-02-16,1,1,162
2023-02-17,1,1,160
2023-02-18,1,1,149
2023-02-19,1,1,149
2023-02-20,1,1,149
2023-02-21,1,1,168
2023-02-22,1,1,162
2023-02-23,1,1,159
2023-02-24,1,1,152
2023-02-25,1,1,146
2023-02-26,1,1,141
2023-02-27,1,1,153
2023-02-28,1,1,170
2023-03-01,1,1,171
2023-03-02,1,1,165
2023-03-03,1,1,154
2023-03-04,1,1,151
2023-03-05,1,1,151
2023-03-06,1,1,157
2023-03-07,1,1,172
2023-03-08,1,1,167
2023-03-09,1,1,159
2023-03-10,1,1,160
2023-03-11,1,1,155
2023-03-12,1,1,143
2023-03-13,1,1,162
2023-03-14,1,1,156
2023-03-15,1,1,174
2023-03-16,1,1,159
2023-03-17,1,1,159
2023-03-18,1,1,146
2023-03-19,1,1,153
2023-03-20,1,1,152
2023-03-21,1,1,166
2023-03-22,1,1,169
2023-03-23,1,1,169
2023-03-24,1,1,164
2023-03-25,1,1,153
2023-03-26,1,1,154
2023-03-27,1,1,155
2023-03-28,1,1,161
2023-03-29,1,1,171
2023-03-30,1,1,165
2023-03-31,1,1,159
2023-04-01,1,1,154
2023-04-02,1,1,155
2023-04-03,1,1,153
2023-04-04,1,1,173
2023-04-05,1,1,170
2023-04-06,1,1,161
2023-04-07,1,1,155
2023-04-08,1,1,144
2023-04-09,1,1,152
2023-04-10,1,1,165
2023-04-11,1,1,168
2023-04-12,1,1,167
2023-04-13,1,1,165
2023-04-14,1,1,160
2023-04-15,1,1,145
2023-04-16,1,1,149
2023-04-17,1,1,163
2023-04-18,1,1,164
2023-04-19,1,1,182
2023-04-20,1,1,166
2023-04-21,1,1,154
2023-04-22,1,1,149
2023-04-23,1,1,152
2023-04-24,1,1,160
2023-04-25,1,1,160
2023-04-26,1,1,179
2023-04-27,1,1,167
2023-04-28,1,1,159
2023-04-29,1,1,158
2023-04-30,1,1,150
2023-05-01,1,1,160
2023-05-02,1,1,174
2023-05-03,1,1,173
2023-05-04,1,1,170
2023-05-05,1,1,159
2023-05-06,1,1,153
2023-05-07,1,1,163
2023-05-08,1,1,170
2023-05-09,1,1,160
2023-05-10,1,1,182
2023-05-11,1,1,180
2023-05-12,1,1,166
2023-05-13,1,1,154
2023-05-14,1,1,154
2023-05-15,1,1,169
2023-05-16,1,1,170
2023-05-17,1,1,177
2023-05-18,1,1,169
2023-05-19,1,1,167
2023-05-20,1,1,154
2023-05-21,1,1,155
2023-05-22,1,1,167
2023-05-23,1,1,183
2023-05-24,1,1,176
2023-05-25,1,1,168
2023-05-26,1,1,166
2023-05-27,1,1,160
2023-05-28,1,1,154
2023-05-29,1,1,164
2023-05-30,1,1,180
2023-05-31,1,1,178
2023-06-01,1,1,159
2023-06-02,1,1,165
2023-06-03,1,1,162
2023-06-04,1,1,155
2023-06-05,1,1,170
2023-06-06,1,1,184
2023-06-07,1,1,179
2023-06-08,1,1,169
2023-06-09,1,1,160
2023-06-10,1,1,158
2023-06-11,1,1,162
2023-06-12,1,1,168
